datetime,load
2024-01-03 12:55:00,4639.29
2024-01-03 13:00:00,4531.07
2024-01-03 13:05:00,4450.7
2024-01-03 13:10:00,4376.81
2024-01-03 13:15:00,4338.82
2024-01-03 13:20:00,4296.9
2024-01-03 13:25:00,4275.54
2024-01-03 13:30:00,4247.85
2024-01-03 13:35:00,4243.84
2024-01-03 13:40:00,4224.1
2024-01-03 13:45:00,4257.18
2024-01-03 13:50:00,4250.0
2024-01-03 13:55:00,4238.97
2024-01-03 14:00:00,4232.43
2024-01-03 14:05:00,4308.59
2024-01-03 14:10:00,4278.97
2024-01-03 14:15:00,4241.65
2024-01-03 14:20:00,4219.57
2024-01-03 14:25:00,4253.3
2024-01-03 14:30:00,4222.89
2024-01-03 14:35:00,4184.32
2024-01-03 14:40:00,4172.84
2024-01-03 14:45:00,4185.1
2024-01-03 14:50:00,4111.74
2024-01-03 14:55:00,4148.0
2024-01-03 15:00:00,4081.38
2024-01-03 15:05:00,4086.46
2024-01-03 15:10:00,4107.57
2024-01-03 15:15:00,4073.66
2024-01-03 15:20:00,4054.87
2024-01-03 15:25:00,4051.85
2024-01-03 15:30:00,4049.14
2024-01-03 15:35:00,4034.85
2024-01-03 15:40:00,4003.91
2024-01-03 15:45:00,3994.53
2024-01-03 15:50:00,4040.95
2024-01-03 15:55:00,3996.27
2024-01-03 16:00:00,3985.59
2024-01-03 16:05:00,3997.09
2024-01-03 16:10:00,4011.67
2024-01-03 16:15:00,3982.85
2024-01-03 16:20:00,3984.72
2024-01-03 16:25:00,3989.68
2024-01-03 16:30:00,4047.24
2024-01-03 16:35:00,3992.69
2024-01-03 16:40:00,3979.63
2024-01-03 16:45:00,3993.43
2024-01-03 16:50:00,4000.37
2024-01-03 16:55:00,4032.19
2024-01-03 17:00:00,4055.42
2024-01-03 17:05:00,4085.88
2024-01-03 17:10:00,4092.8
2024-01-03 17:15:00,4083.28
2024-01-03 17:20:00,4115.0
2024-01-03 17:25:00,4115.86
2024-01-03 17:30:00,4187.97
2024-01-03 17:35:00,4165.18
2024-01-03 17:40:00,4212.26
2024-01-03 17:45:00,4237.67
2024-01-03 17:50:00,4239.82
2024-01-03 17:55:00,4250.69
2024-01-03 18:00:00,4235.38
2024-01-03 18:05:00,4283.08
2024-01-03 18:10:00,4300.14
2024-01-03 18:15:00,4283.09
2024-01-03 18:20:00,4286.14
2024-01-03 18:25:00,4317.1
2024-01-03 18:30:00,4256.37
2024-01-03 18:35:00,4268.29
2024-01-03 18:40:00,4274.84
2024-01-03 18:45:00,4249.16
2024-01-03 18:50:00,4257.38
2024-01-03 18:55:00,4237.9
2024-01-03 19:00:00,4238.35
2024-01-03 19:05:00,4195.84
2024-01-03 19:10:00,4142.0
2024-01-03 19:15:00,4208.68
2024-01-03 19:20:00,4164.7
2024-01-03 19:25:00,4135.52
2024-01-03 19:30:00,4125.2
2024-01-03 19:35:00,4131.01
2024-01-03 19:40:00,4159.09
2024-01-03 19:45:00,4127.56
2024-01-03 19:50:00,4091.51
2024-01-03 19:55:00,4078.42
2024-01-03 20:00:00,4024.79
2024-01-03 20:05:00,4003.34
2024-01-03 20:10:00,3973.74
2024-01-03 20:15:00,3966.9
2024-01-03 20:20:00,3912.9
2024-01-03 20:25:00,3957.29
2024-01-03 20:30:00,3927.32
2024-01-03 20:35:00,3897.1
2024-01-03 20:40:00,3875.54
2024-01-03 20:45:00,3850.35
2024-01-03 20:50:00,3825.01
2024-01-03 20:55:00,3851.54
2024-01-03 21:00:00,3808.03
2024-01-03 21:05:00,3753.91
2024-01-03 21:10:00,3727.55
2024-01-03 21:15:00,3711.39
2024-01-03 21:20:00,3722.18
2024-01-03 21:25:00,3707.73
2024-01-03 21:30:00,3719.78
